"x";"y";"z"
-0.741245;-0.039883;0.707456
-0.622039;-0.063813;0.698704
-0.73315;-0.063813;0.694655
-0.832523;-0.039883;0.695296
-0.741245;-0.039883;0.707456
-0.73315;-0.063813;0.694655
-0.73315;0.063813;0.694655
-0.624036;0.039883;0.711938
-0.741245;0.039883;0.707456
-0.819967;0.063813;0.683663
-0.73315;0.063813;0.694655
-0.741245;0.039883;0.707456
-0.722621;0.07179;0.678012
-0.622039;0.063813;0.698704
-0.73315;0.063813;0.694655
-0.803644;0.07179;0.668539
-0.722621;0.07179;0.678012
-0.73315;0.063813;0.694655
-0.710066;0;0.328372
-0.638129;0;0.287158
-0.631184;-0.039883;0.277569
-0.624826;-0.063813;0.259599
-0.710455;-0.039883;0.322361
-0.631184;-0.039883;0.277569
-0.535866;0.149137;0.599133
-0.517593;0.063813;0.664661
-0.526706;0.039883;0.651362
-0.704;-0.039883;0.648569
-0.61485;-0.039883;0.651067
-0.614053;0;0.645774
-0.712095;-0.063813;0.66137
-0.61485;-0.039883;0.651067
-0.704;-0.039883;0.648569
-0.787321;-0.063813;0.653419
-0.712095;-0.063813;0.66137
-0.704;-0.039883;0.648569
-0.73315;-0.063813;0.694655
-0.619445;-0.07179;0.681503
-0.722621;-0.07179;0.678012
-0.819967;-0.063813;0.683663
-0.73315;-0.063813;0.694655
-0.722621;-0.07179;0.678012
-0.837545;0;0.699948
-0.741245;-0.039883;0.707456
-0.832523;-0.039883;0.695296
-0.904015;0;0.675354
-0.837545;0;0.699948
-0.832523;-0.039883;0.695296
-0.832523;0.039883;0.695296
-0.744483;0;0.712577
-0.837545;0;0.699948
-0.8978;0.039883;0.671612
-0.832523;0.039883;0.695296
-0.837545;0;0.699948
-0.819967;0.063813;0.683663
-0.741245;0.039883;0.707456
-0.832523;0.039883;0.695296
-0.882265;0.063813;0.662257
-0.819967;0.063813;0.683663
-0.832523;0.039883;0.695296
-0.508714;0.071712;0.682112
-0.501667;0.063813;0.699221
-0.619445;0.07179;0.681503
-0.501667;0.063813;0.699221
-0.622039;0.063813;0.698704
-0.619445;0.07179;0.681503
-0.712095;0.063813;0.66137
-0.616848;0.063813;0.664299
-0.619445;0.07179;0.681503
-0.712095;0.063813;0.66137
-0.619445;0.07179;0.681503
-0.722621;0.07179;0.678012
-0.787321;0.063813;0.653419
-0.712095;0.063813;0.66137
-0.722621;0.07179;0.678012
-0.616848;0.063813;0.664299
-0.61485;0.039883;0.651067
-0.517593;0.063813;0.664661
-0.508714;0.071712;0.682112
-0.616848;0.063813;0.664299
-0.517593;0.063813;0.664661
-0.615553;-0.063813;0.216807
-0.712688;-0.07179;0.287795
-0.619922;-0.07179;0.238069
-0.619922;-0.07179;0.238069
-0.711425;-0.063813;0.307332
-0.624826;-0.063813;0.259599
-0.631184;-0.039883;0.277569
-0.710455;-0.039883;0.322361
-0.710066;0;0.328372
-0.710455;-0.039883;0.322361
-0.766936;0;0.377559
-0.710066;0;0.328372
-0.700762;0;0.643448
-0.614053;0;0.645774
-0.61485;0.039883;0.651067
-0.526706;0.039883;0.651362
-0.517593;0.063813;0.664661
-0.61485;0.039883;0.651067
-0.803644;-0.07179;0.668539
-0.712095;-0.063813;0.66137
-0.787321;-0.063813;0.653419
-0.862065;-0.07179;0.650094
-0.803644;-0.07179;0.668539
-0.787321;-0.063813;0.653419
-0.819967;-0.063813;0.683663
-0.722621;-0.07179;0.678012
-0.803644;-0.07179;0.668539
-0.882265;-0.063813;0.662257
-0.819967;-0.063813;0.683663
-0.803644;-0.07179;0.668539
-0.832523;-0.039883;0.695296
-0.73315;-0.063813;0.694655
-0.819967;-0.063813;0.683663
-0.8978;-0.039883;0.671612
-0.832523;-0.039883;0.695296
-0.819967;-0.063813;0.683663
-0.803644;0.07179;0.668539
-0.73315;0.063813;0.694655
-0.819967;0.063813;0.683663
-0.862065;0.07179;0.650094
-0.803644;0.07179;0.668539
-0.819967;0.063813;0.683663
-0.787321;0.063813;0.653419
-0.722621;0.07179;0.678012
-0.803644;0.07179;0.668539
-0.841868;0.063813;0.637931
-0.787321;0.063813;0.653419
-0.803644;0.07179;0.668539
-0.619922;-0.07179;0.238069
-0.712688;-0.07179;0.287795
-0.711425;-0.063813;0.307332
-0.712688;-0.07179;0.287795
-0.776434;-0.063813;0.359177
-0.711425;-0.063813;0.307332
-0.713952;-0.063813;0.268259
-0.785253;-0.07179;0.342107
-0.712688;-0.07179;0.287795
-0.638129;0;0.287158
-0.710455;0.039883;0.322361
-0.631184;0.039883;0.277569
-0.624826;-0.063813;0.259599
-0.711425;-0.063813;0.307332
-0.710455;-0.039883;0.322361
-0.711425;-0.063813;0.307332
-0.769651;-0.039883;0.372307
-0.710455;-0.039883;0.322361
-0.638129;0;0.287158
-0.710066;0;0.328372
-0.710455;0.039883;0.322361
-0.710066;0;0.328372
-0.769651;0.039883;0.372307
-0.710455;0.039883;0.322361
-0.704;-0.039883;0.648569
-0.614053;0;0.645774
-0.700762;0;0.643448
-0.774766;-0.039883;0.641786
-0.704;-0.039883;0.648569
-0.700762;0;0.643448
-0.787321;-0.063813;0.653419
-0.704;-0.039883;0.648569
-0.774766;-0.039883;0.641786
-0.841868;-0.063813;0.637931
-0.787321;-0.063813;0.653419
-0.774766;-0.039883;0.641786
-0.904015;0;0.675354
-0.832523;-0.039883;0.695296
-0.8978;-0.039883;0.671612
-0.943899;0;0.634805
-0.904015;0;0.675354
-0.8978;-0.039883;0.671612
-0.8978;0.039883;0.671612
-0.837545;0;0.699948
-0.904015;0;0.675354
-0.937016;0.039883;0.632565
-0.8978;0.039883;0.671612
-0.904015;0;0.675354
-0.882265;0.063813;0.662257
-0.832523;0.039883;0.695296
-0.8978;0.039883;0.671612
-0.919812;0.063813;0.626965
-0.882265;0.063813;0.662257
-0.8978;0.039883;0.671612
-0.862065;0.07179;0.650094
-0.819967;0.063813;0.683663
-0.882265;0.063813;0.662257
-0.897443;0.07179;0.619684
-0.862065;0.07179;0.650094
-0.882265;0.063813;0.662257
-0.704;0.039883;0.648569
-0.616848;0.063813;0.664299
-0.712095;0.063813;0.66137
-0.774766;0.039883;0.641786
-0.704;0.039883;0.648569
-0.712095;0.063813;0.66137
-0.774766;0.039883;0.641786
-0.712095;0.063813;0.66137
-0.787321;0.063813;0.653419
-0.826329;0.039883;0.628576
-0.774766;0.039883;0.641786
-0.787321;0.063813;0.653419
-0.714922;-0.039883;0.253231
-0.713952;-0.063813;0.268259
-0.608884;-0.039883;0.198682
-0.611709;0;0.194244
-0.714922;-0.039883;0.253231
-0.608884;-0.039883;0.198682
-0.631184;0.039883;0.277569
-0.711425;0.063813;0.307332
-0.624828;0.063813;0.259599
-0.710455;-0.039883;0.322361
-0.769651;-0.039883;0.372307
-0.766936;0;0.377559
-0.769651;-0.039883;0.372307
-0.809626;0;0.430737
-0.766936;0;0.377559
-0.710066;0;0.328372
-0.766936;0;0.377559
-0.769651;0.039883;0.372307
-0.766936;0;0.377559
-0.814205;0.039883;0.426194
-0.769651;0.039883;0.372307
-0.508714;0.071712;0.682112
-0.619445;0.07179;0.681503
-0.616848;0.063813;0.664299
-0.704;0.039883;0.648569
-0.61485;0.039883;0.651067
-0.616848;0.063813;0.664299
-0.700762;0;0.643448
-0.61485;0.039883;0.651067
-0.704;0.039883;0.648569
-0.769743;0;0.637131
-0.700762;0;0.643448
-0.704;0.039883;0.648569
-0.862065;-0.07179;0.650094
-0.787321;-0.063813;0.653419
-0.841868;-0.063813;0.637931
-0.897443;-0.07179;0.619684
-0.862065;-0.07179;0.650094
-0.841868;-0.063813;0.637931
-0.882265;-0.063813;0.662257
-0.803644;-0.07179;0.668539
-0.862065;-0.07179;0.650094
-0.919812;-0.063813;0.626965
-0.882265;-0.063813;0.662257
-0.862065;-0.07179;0.650094
-0.8978;-0.039883;0.671612
-0.819967;-0.063813;0.683663
-0.882265;-0.063813;0.662257
-0.937016;-0.039883;0.632565
-0.8978;-0.039883;0.671612
-0.882265;-0.063813;0.662257
-0.841868;0.063813;0.637931
-0.803644;0.07179;0.668539
-0.862065;0.07179;0.650094
-0.875076;0.063813;0.612403
-0.841868;0.063813;0.637931
-0.862065;0.07179;0.650094
-0.826329;0.039883;0.628576
-0.787321;0.063813;0.653419
-0.841868;0.063813;0.637931
-0.857869;0.039883;0.6068
-0.826329;0.039883;0.628576
-0.841868;0.063813;0.637931
-0.715311;0;0.24722
-0.714922;-0.039883;0.253231
-0.611709;0;0.194244
-0.608883;0.039883;0.198681
-0.715311;0;0.24722
-0.611709;0;0.194244
-0.712688;-0.07179;0.287795
-0.785253;-0.07179;0.342107
-0.776434;-0.063813;0.359177
-0.785253;-0.07179;0.342107
-0.825653;-0.063813;0.414838
-0.776434;-0.063813;0.359177
-0.711425;-0.063813;0.307332
-0.776434;-0.063813;0.359177
-0.769651;-0.039883;0.372307
-0.776434;-0.063813;0.359177
-0.814205;-0.039883;0.426194
-0.769651;-0.039883;0.372307
-0.714922;-0.039883;0.253231
-0.794072;-0.063813;0.325038
-0.713952;-0.063813;0.268259
-0.631184;0.039883;0.277569
-0.710455;0.039883;0.322361
-0.711425;0.063813;0.307332
-0.710455;0.039883;0.322361
-0.776434;0.063813;0.359177
-0.711425;0.063813;0.307332
-0.710455;0.039883;0.322361
-0.769651;0.039883;0.372307
-0.776434;0.063813;0.359177
-0.769651;0.039883;0.372307
-0.825653;0.063813;0.414838
-0.776434;0.063813;0.359177
-0.774766;-0.039883;0.641786
-0.700762;0;0.643448
-0.769743;0;0.637131
-0.826329;-0.039883;0.628576
-0.774766;-0.039883;0.641786
-0.769743;0;0.637131
-0.841868;-0.063813;0.637931
-0.774766;-0.039883;0.641786
-0.826329;-0.039883;0.628576
-0.875076;-0.063813;0.612403
-0.841868;-0.063813;0.637931
-0.826329;-0.039883;0.628576
-0.943899;0;0.634805
-0.8978;-0.039883;0.671612
-0.937016;-0.039883;0.632565
-0.957194;0;0.574316
-0.943899;0;0.634805
-0.937016;-0.039883;0.632565
-0.937016;0.039883;0.632565
-0.904015;0;0.675354
-0.943899;0;0.634805
-0.950104;0.039883;0.574316
-0.937016;0.039883;0.632565
-0.943899;0;0.634805
-0.919812;0.063813;0.626965
-0.8978;0.039883;0.671612
-0.937016;0.039883;0.632565
-0.932377;0.063813;0.574316
-0.919812;0.063813;0.626965
-0.937016;0.039883;0.632565
-0.897443;0.07179;0.619684
-0.882265;0.063813;0.662257
-0.919812;0.063813;0.626965
-0.909334;0.07179;0.574316
-0.897443;0.07179;0.619684
-0.919812;0.063813;0.626965
-0.875076;0.063813;0.612403
-0.862065;0.07179;0.650094
-0.897443;0.07179;0.619684
-0.886292;0.063813;0.574316
-0.875076;0.063813;0.612403
-0.897443;0.07179;0.619684
-0.769743;0;0.637131
-0.704;0.039883;0.648569
-0.774766;0.039883;0.641786
-0.820114;0;0.624834
-0.769743;0;0.637131
-0.774766;0.039883;0.641786
-0.820114;0;0.624834
-0.774766;0.039883;0.641786
-0.826329;0.039883;0.628576
-0.850987;0;0.60456
-0.820114;0;0.624834
-0.826329;0.039883;0.628576
-0.715311;0;0.24722
-0.800855;-0.039883;0.311909
-0.714922;-0.039883;0.253231
-0.714922;0.039883;0.253231
-0.803571;0;0.306656
-0.715311;0;0.24722
-0.713952;-0.063813;0.268259
-0.794072;-0.063813;0.325038
-0.785253;-0.07179;0.342107
-0.794072;-0.063813;0.325038
-0.840534;-0.07179;0.400078
-0.785253;-0.07179;0.342107
-0.624828;0.063813;0.259599
-0.712688;0.07179;0.287795
-0.619922;0.07179;0.238069
-0.713952;0.063813;0.268259
-0.61548;0.063578;0.216617
-0.619922;0.07179;0.238069
-0.624828;0.063813;0.259599
-0.711425;0.063813;0.307332
-0.712688;0.07179;0.287795
-0.711425;0.063813;0.307332
-0.785253;0.07179;0.342107
-0.712688;0.07179;0.287795
-0.769651;-0.039883;0.372307
-0.814205;-0.039883;0.426194
-0.809626;0;0.430737
-0.814205;-0.039883;0.426194
-0.839022;0;0.483916
-0.809626;0;0.430737
-0.766936;0;0.377559
-0.809626;0;0.430737
-0.814205;0.039883;0.426194
-0.809626;0;0.430737
-0.844976;0.039883;0.480304
-0.814205;0.039883;0.426194
-0.769651;0.039883;0.372307
-0.814205;0.039883;0.426194
-0.825653;0.063813;0.414838
-0.814205;0.039883;0.426194
-0.859854;0.063813;0.471278
-0.825653;0.063813;0.414838
-0.897443;-0.07179;0.619684
-0.841868;-0.063813;0.637931
-0.875076;-0.063813;0.612403
-0.909334;-0.07179;0.574316
-0.897443;-0.07179;0.619684
-0.875076;-0.063813;0.612403
-0.919812;-0.063813;0.626965
-0.862065;-0.07179;0.650094
-0.897443;-0.07179;0.619684
-0.932377;-0.063813;0.574316
-0.919812;-0.063813;0.626965
-0.897443;-0.07179;0.619684
-0.937016;-0.039883;0.632565
-0.882265;-0.063813;0.662257
-0.919812;-0.063813;0.626965
-0.950104;-0.039883;0.574316
-0.937016;-0.039883;0.632565
-0.919812;-0.063813;0.626965
-0.857869;0.039883;0.6068
-0.841868;0.063813;0.637931
-0.875076;0.063813;0.612403
-0.868564;0.039883;0.574316
-0.857869;0.039883;0.6068
-0.875076;0.063813;0.612403
-0.850987;0;0.60456
-0.826329;0.039883;0.628576
-0.857869;0.039883;0.6068
-0.861474;0;0.574316
-0.850987;0;0.60456
-0.857869;0.039883;0.6068
-0.714922;-0.039883;0.253231
-0.800855;-0.039883;0.311909
-0.794072;-0.063813;0.325038
-0.800855;-0.039883;0.311909
-0.855419;-0.063813;0.385315
-0.794072;-0.063813;0.325038
-0.715311;0;0.24722
-0.803571;0;0.306656
-0.800855;-0.039883;0.311909
-0.803571;0;0.306656
-0.866867;-0.039883;0.37396
-0.800855;-0.039883;0.311909
-0.785253;-0.07179;0.342107
-0.840534;-0.07179;0.400078
-0.825653;-0.063813;0.414838
-0.840534;-0.07179;0.400078
-0.859854;-0.063813;0.471278
-0.825653;-0.063813;0.414838
-0.776434;-0.063813;0.359177
-0.825653;-0.063813;0.414838
-0.814205;-0.039883;0.426194
-0.825653;-0.063813;0.414838
-0.844976;-0.039883;0.480304
-0.814205;-0.039883;0.426194
-0.713952;0.063813;0.268259
-0.714922;0.039883;0.253231
-0.61548;0.063578;0.216617
-0.711425;0.063813;0.307332
-0.776434;0.063813;0.359177
-0.785253;0.07179;0.342107
-0.776434;0.063813;0.359177
-0.840534;0.07179;0.400078
-0.785253;0.07179;0.342107
-0.776434;0.063813;0.359177
-0.825653;0.063813;0.414838
-0.840534;0.07179;0.400078
-0.825653;0.063813;0.414838
-0.879202;0.07179;0.459542
-0.840534;0.07179;0.400078
-0.826329;-0.039883;0.628576
-0.769743;0;0.637131
-0.820114;0;0.624834
-0.857869;-0.039883;0.6068
-0.826329;-0.039883;0.628576
-0.820114;0;0.624834
-0.875076;-0.063813;0.612403
-0.826329;-0.039883;0.628576
-0.857869;-0.039883;0.6068
-0.886292;-0.063813;0.574316
-0.875076;-0.063813;0.612403
-0.857869;-0.039883;0.6068
-0.957194;0;0.574316
-0.937016;-0.039883;0.632565
-0.950104;-0.039883;0.574316
-0.947813;0;0.50358
-0.957194;0;0.574316
-0.950104;-0.039883;0.574316
-0.950104;0.039883;0.574316
-0.943899;0;0.634805
-0.957194;0;0.574316
-0.941014;0.039883;0.505765
-0.950104;0.039883;0.574316
-0.957194;0;0.574316
-0.932377;0.063813;0.574316
-0.937016;0.039883;0.632565
-0.950104;0.039883;0.574316
-0.924011;0.063813;0.511234
-0.932377;0.063813;0.574316
-0.950104;0.039883;0.574316
-0.909334;0.07179;0.574316
-0.919812;0.063813;0.626965
-0.932377;0.063813;0.574316
-0.901913;0.07179;0.518343
-0.909334;0.07179;0.574316
-0.932377;0.063813;0.574316
-0.886292;0.063813;0.574316
-0.897443;0.07179;0.619684
-0.909334;0.07179;0.574316
-0.879811;0.063813;0.525448
-0.886292;0.063813;0.574316
-0.909334;0.07179;0.574316
-0.868564;0.039883;0.574316
-0.875076;0.063813;0.612403
-0.886292;0.063813;0.574316
-0.862808;0.039883;0.530917
-0.868564;0.039883;0.574316
-0.886292;0.063813;0.574316
-0.857869;-0.039883;0.6068
-0.820114;0;0.624834
-0.850987;0;0.60456
-0.868564;-0.039883;0.574316
-0.857869;-0.039883;0.6068
-0.850987;0;0.60456
-0.713952;0.063813;0.268259
-0.800855;0.039883;0.311909
-0.714922;0.039883;0.253231
-0.714922;0.039883;0.253231
-0.800855;0.039883;0.311909
-0.803571;0;0.306656
-0.800855;0.039883;0.311909
-0.871445;0;0.369416
-0.803571;0;0.306656
-0.794072;-0.063813;0.325038
-0.855419;-0.063813;0.385315
-0.840534;-0.07179;0.400078
-0.855419;-0.063813;0.385315
-0.879202;-0.07179;0.459542
-0.840534;-0.07179;0.400078
-0.619922;0.07179;0.238069
-0.712688;0.07179;0.287795
-0.713952;0.063813;0.268259
-0.712688;0.07179;0.287795
-0.794072;0.063813;0.325038
-0.713952;0.063813;0.268259
-0.712688;0.07179;0.287795
-0.785253;0.07179;0.342107
-0.794072;0.063813;0.325038
-0.785253;0.07179;0.342107
-0.855419;0.063813;0.385315
-0.794072;0.063813;0.325038
-0.814205;-0.039883;0.426194
-0.844976;-0.039883;0.480304
-0.839022;0;0.483916
-0.844976;-0.039883;0.480304
-0.856009;0;0.533103
-0.839022;0;0.483916
-0.809626;0;0.430737
-0.839022;0;0.483916
-0.844976;0.039883;0.480304
-0.839022;0;0.483916
-0.862808;0.039883;0.530917
-0.844976;0.039883;0.480304
-0.814205;0.039883;0.426194
-0.844976;0.039883;0.480304
-0.859854;0.063813;0.471278
-0.844976;0.039883;0.480304
-0.879811;0.063813;0.525448
-0.859854;0.063813;0.471278
-0.825653;0.063813;0.414838
-0.859854;0.063813;0.471278
-0.879202;0.07179;0.459542
-0.859854;0.063813;0.471278
-0.901913;0.07179;0.518343
-0.879202;0.07179;0.459542
-0.909334;-0.07179;0.574316
-0.875076;-0.063813;0.612403
-0.886292;-0.063813;0.574316
-0.901913;-0.07179;0.518343
-0.909334;-0.07179;0.574316
-0.886292;-0.063813;0.574316
-0.932377;-0.063813;0.574316
-0.897443;-0.07179;0.619684
-0.909334;-0.07179;0.574316
-0.924011;-0.063813;0.511234
-0.932377;-0.063813;0.574316
-0.909334;-0.07179;0.574316
-0.950104;-0.039883;0.574316
-0.919812;-0.063813;0.626965
-0.932377;-0.063813;0.574316
-0.941014;-0.039883;0.505765
-0.950104;-0.039883;0.574316
-0.932377;-0.063813;0.574316
-0.861474;0;0.574316
-0.857869;0.039883;0.6068
-0.868564;0.039883;0.574316
-0.856009;0;0.533103
-0.861474;0;0.574316
-0.868564;0.039883;0.574316
-0.868564;-0.039883;0.574316
-0.850987;0;0.60456
-0.861474;0;0.574316
-0.862808;-0.039883;0.530917
-0.868564;-0.039883;0.574316
-0.861474;0;0.574316
-0.800855;-0.039883;0.311909
-0.866867;-0.039883;0.37396
-0.855419;-0.063813;0.385315
-0.866867;-0.039883;0.37396
-0.898547;-0.063813;0.447807
-0.855419;-0.063813;0.385315
-0.803571;0;0.306656
-0.871445;0;0.369416
-0.866867;-0.039883;0.37396
-0.871445;0;0.369416
-0.913428;-0.039883;0.438781
-0.866867;-0.039883;0.37396
-0.840534;-0.07179;0.400078
-0.879202;-0.07179;0.459542
-0.859854;-0.063813;0.471278
-0.879202;-0.07179;0.459542
-0.879811;-0.063813;0.525448
-0.859854;-0.063813;0.471278
-0.825653;-0.063813;0.414838
-0.859854;-0.063813;0.471278
-0.844976;-0.039883;0.480304
-0.859854;-0.063813;0.471278
-0.862808;-0.039883;0.530917
-0.844976;-0.039883;0.480304
-0.785253;0.07179;0.342107
-0.840534;0.07179;0.400078
-0.855419;0.063813;0.385315
-0.840534;0.07179;0.400078
-0.898547;0.063813;0.447807
-0.855419;0.063813;0.385315
-0.840534;0.07179;0.400078
-0.879202;0.07179;0.459542
-0.898547;0.063813;0.447807
-0.879202;0.07179;0.459542
-0.924011;0.063813;0.511234
-0.898547;0.063813;0.447807
-0.886292;-0.063813;0.574316
-0.857869;-0.039883;0.6068
-0.868564;-0.039883;0.574316
-0.879811;-0.063813;0.525448
-0.886292;-0.063813;0.574316
-0.868564;-0.039883;0.574316
-0.947813;0;0.50358
-0.950104;-0.039883;0.574316
-0.941014;-0.039883;0.505765
-0.919378;0;0.435169
-0.947813;0;0.50358
-0.941014;-0.039883;0.505765
-0.941014;0.039883;0.505765
-0.957194;0;0.574316
-0.947813;0;0.50358
-0.913428;0.039883;0.438781
-0.941014;0.039883;0.505765
-0.947813;0;0.50358
-0.924011;0.063813;0.511234
-0.950104;0.039883;0.574316
-0.941014;0.039883;0.505765
-0.898547;0.063813;0.447807
-0.924011;0.063813;0.511234
-0.941014;0.039883;0.505765
-0.901913;0.07179;0.518343
-0.932377;0.063813;0.574316
-0.924011;0.063813;0.511234
-0.879202;0.07179;0.459542
-0.901913;0.07179;0.518343
-0.924011;0.063813;0.511234
-0.879811;0.063813;0.525448
-0.909334;0.07179;0.574316
-0.901913;0.07179;0.518343
-0.859854;0.063813;0.471278
-0.879811;0.063813;0.525448
-0.901913;0.07179;0.518343
-0.862808;0.039883;0.530917
-0.886292;0.063813;0.574316
-0.879811;0.063813;0.525448
-0.844976;0.039883;0.480304
-0.862808;0.039883;0.530917
-0.879811;0.063813;0.525448
-0.856009;0;0.533103
-0.868564;0.039883;0.574316
-0.862808;0.039883;0.530917
-0.839022;0;0.483916
-0.856009;0;0.533103
-0.862808;0.039883;0.530917
-0.713952;0.063813;0.268259
-0.794072;0.063813;0.325038
-0.800855;0.039883;0.311909
-0.794072;0.063813;0.325038
-0.866867;0.039883;0.37396
-0.800855;0.039883;0.311909
-0.800855;0.039883;0.311909
-0.866867;0.039883;0.37396
-0.871445;0;0.369416
-0.866867;0.039883;0.37396
-0.919378;0;0.435169
-0.871445;0;0.369416
-0.898547;-0.063813;0.447807
-0.901913;-0.07179;0.518343
-0.879202;-0.07179;0.459542
-0.855419;-0.063813;0.385315
-0.898547;-0.063813;0.447807
-0.879202;-0.07179;0.459542
-0.794072;0.063813;0.325038
-0.855419;0.063813;0.385315
-0.866867;0.039883;0.37396
-0.855419;0.063813;0.385315
-0.913428;0.039883;0.438781
-0.866867;0.039883;0.37396
-0.862808;-0.039883;0.530917
-0.861474;0;0.574316
-0.856009;0;0.533103
-0.844976;-0.039883;0.480304
-0.862808;-0.039883;0.530917
-0.856009;0;0.533103
-0.901913;-0.07179;0.518343
-0.886292;-0.063813;0.574316
-0.879811;-0.063813;0.525448
-0.879202;-0.07179;0.459542
-0.901913;-0.07179;0.518343
-0.879811;-0.063813;0.525448
-0.924011;-0.063813;0.511234
-0.909334;-0.07179;0.574316
-0.901913;-0.07179;0.518343
-0.898547;-0.063813;0.447807
-0.924011;-0.063813;0.511234
-0.901913;-0.07179;0.518343
-0.941014;-0.039883;0.505765
-0.932377;-0.063813;0.574316
-0.924011;-0.063813;0.511234
-0.913428;-0.039883;0.438781
-0.941014;-0.039883;0.505765
-0.924011;-0.063813;0.511234
-0.879811;-0.063813;0.525448
-0.868564;-0.039883;0.574316
-0.862808;-0.039883;0.530917
-0.859854;-0.063813;0.471278
-0.879811;-0.063813;0.525448
-0.862808;-0.039883;0.530917
-0.913428;-0.039883;0.438781
-0.924011;-0.063813;0.511234
-0.898547;-0.063813;0.447807
-0.866867;-0.039883;0.37396
-0.913428;-0.039883;0.438781
-0.898547;-0.063813;0.447807
-0.919378;0;0.435169
-0.941014;-0.039883;0.505765
-0.913428;-0.039883;0.438781
-0.871445;0;0.369416
-0.919378;0;0.435169
-0.913428;-0.039883;0.438781
-0.855419;0.063813;0.385315
-0.898547;0.063813;0.447807
-0.913428;0.039883;0.438781
-0.898547;0.063813;0.447807
-0.941014;0.039883;0.505765
-0.913428;0.039883;0.438781
-0.913428;0.039883;0.438781
-0.947813;0;0.50358
-0.919378;0;0.435169
-0.866867;0.039883;0.37396
-0.913428;0.039883;0.438781
-0.919378;0;0.435169
0.65689;0;0.471064
0.605956;0;0.463769
0.60096;0.085753;0.44481
0.661223;0.083705;0.454734
0.65689;0;0.471064
0.60096;0.085753;0.44481
0.65689;0;0.471064
0.661223;-0.083705;0.454734
0.605956;0;0.463769
0.661223;-0.083705;0.454734
0.600959;-0.085753;0.44481
0.605956;0;0.463769
0.592873;-0.165003;0.437827
0.588275;0;0.517481
0.600959;-0.085753;0.44481
0.588275;0;0.517481
0.605956;0;0.463769
0.600959;-0.085753;0.44481
0.746455;-0.117778;0.470391
0.672055;-0.133928;0.413907
0.661223;-0.083705;0.454734
0.661223;-0.083705;0.454734
0.65689;0;0.471064
0.730696;-0.073611;0.501576
0.746455;-0.117778;0.470391
0.661223;-0.083705;0.454734
0.730696;-0.073611;0.501576
0.786583;-0.096783;0.544847
0.746455;-0.117778;0.470391
0.730696;-0.073611;0.501576
0.724395;0;0.514048
0.65689;0;0.471064
0.661223;0.083705;0.454734
0.60096;0.085753;0.44481
0.6051;0.137265;0.399712
0.661223;0.083705;0.454734
0.672055;-0.133928;0.413907
0.686135;-0.150669;0.36083
0.605101;-0.137265;0.399712
0.766935;-0.132501;0.42985
0.672055;-0.133928;0.413907
0.746455;-0.117778;0.470391
0.809626;-0.108881;0.517481
