number 	position.x 	position.y 	n.x 	n.y
1 408 0 0.15707963267949 0
1 407.901506724761 1.25147572032185 0.155145721742499 0.024572668306932
1 407.608452130361 2.47213595499958 0.149391608237078 0.0485402759681367
1 407.128052193507 3.63192399791637 0.139958977534538 0.0713126609390658
1 406.472135955 4.70228201833979 0.127080092307882 0.0923290915245226
1 405.656854249492 5.65685424949238 0.111072073453959 0.111072073453959
1 404.70228201834 6.47213595499958 0.0923290915245225 0.127080092307882
1 403.631923997916 7.12805219350694 0.071312660939066 0.139958977534538
1 402.472135955 7.60845213036123 0.0485402759681371 0.149391608237078
1 401.251475720322 7.9015067247611 0.0245726683069314 0.155145721742499
1 400 8 0 0.15707963267949
1 398.748524279678 7.9015067247611 -0.0245726683069314 0.155145721742499
1 397.527864045 7.60845213036123 -0.048540275968137 0.149391608237078
1 396.368076002084 7.12805219350694 -0.071312660939066 0.139958977534538
1 395.29771798166 6.47213595499958 -0.0923290915245225 0.127080092307882
1 394.343145750508 5.65685424949238 -0.111072073453959 0.111072073453959
1 393.527864045 4.70228201833979 -0.127080092307882 0.0923290915245227
1 392.871947806493 3.63192399791637 -0.139958977534538 0.0713126609390658
1 392.391547869639 2.47213595499958 -0.149391608237078 0.0485402759681367
1 392.098493275239 1.25147572032185 -0.155145721742499 0.024572668306932
1 392 9.79685083057902E-16 -0.15707963267949 1.92360716235388E-17
1 392.098493275239 -1.25147572032185 -0.155145721742499 -0.024572668306932
1 392.391547869639 -2.47213595499958 -0.149391608237078 -0.0485402759681366
1 392.871947806493 -3.63192399791637 -0.139958977534538 -0.0713126609390658
1 393.527864045 -4.70228201833978 -0.127080092307882 -0.0923290915245226
1 394.343145750508 -5.65685424949238 -0.111072073453959 -0.111072073453959
1 395.29771798166 -6.47213595499958 -0.0923290915245225 -0.127080092307882
1 396.368076002084 -7.12805219350694 -0.071312660939066 -0.139958977534538
1 397.527864045 -7.60845213036123 -0.0485402759681371 -0.149391608237078
1 398.748524279678 -7.9015067247611 -0.0245726683069314 -0.155145721742499
1 400 -8 0 -0.15707963267949
1 401.251475720322 -7.9015067247611 0.0245726683069314 -0.155145721742499
1 402.472135955 -7.60845213036123 0.048540275968137 -0.149391608237078
1 403.631923997916 -7.12805219350694 0.071312660939066 -0.139958977534538
1 404.70228201834 -6.47213595499958 0.0923290915245225 -0.127080092307882
1 405.656854249492 -5.65685424949238 0.111072073453959 -0.111072073453959
1 406.472135955 -4.70228201833979 0.127080092307882 -0.0923290915245227
1 407.128052193507 -3.63192399791638 0.139958977534538 -0.0713126609390658
1 407.608452130361 -2.47213595499958 0.149391608237078 -0.0485402759681367
1 407.901506724761 -1.25147572032185 0.155145721742499 -0.024572668306932
2 8 0 0.15707963267949 0
2 7.9015067247611 1.25147572032185 0.155145721742499 0.0245726683069319
2 7.60845213036123 2.47213595499958 0.149391608237078 0.0485402759681367
2 7.12805219350694 3.63192399791637 0.139958977534538 0.071312660939066
2 6.47213595499958 4.70228201833979 0.127080092307882 0.0923290915245228
2 5.65685424949238 5.65685424949238 0.111072073453959 0.111072073453959
2 4.70228201833979 6.47213595499958 0.0923290915245228 0.127080092307882
2 3.63192399791637 7.12805219350694 0.071312660939066 0.139958977534538
2 2.47213595499958 7.60845213036123 0.0485402759681367 0.149391608237078
2 1.25147572032185 7.9015067247611 0.0245726683069319 0.155145721742499
2 4.89842541528951E-16 8 9.61803581176941E-18 0.15707963267949
2 -1.25147572032185 7.9015067247611 -0.0245726683069319 0.155145721742499
2 -2.47213595499958 7.60845213036123 -0.0485402759681366 0.149391608237078
2 -3.63192399791637 7.12805219350694 -0.0713126609390659 0.139958977534538
2 -4.70228201833978 6.47213595499958 -0.0923290915245228 0.127080092307882
2 -5.65685424949238 5.65685424949238 -0.111072073453959 0.111072073453959
2 -6.47213595499958 4.70228201833979 -0.127080092307881 0.0923290915245229
2 -7.12805219350694 3.63192399791637 -0.139958977534538 0.071312660939066
2 -7.60845213036123 2.47213595499958 -0.149391608237078 0.0485402759681367
2 -7.9015067247611 1.25147572032185 -0.155145721742499 0.024572668306932
2 -8 9.79685083057902E-16 -0.15707963267949 1.92360716235388E-17
2 -7.9015067247611 -1.25147572032185 -0.155145721742499 -0.0245726683069319
2 -7.60845213036123 -2.47213595499958 -0.149391608237078 -0.0485402759681366
2 -7.12805219350694 -3.63192399791637 -0.139958977534538 -0.0713126609390659
2 -6.47213595499958 -4.70228201833978 -0.127080092307882 -0.0923290915245228
2 -5.65685424949238 -5.65685424949238 -0.111072073453959 -0.111072073453959
2 -4.70228201833979 -6.47213595499958 -0.0923290915245229 -0.127080092307881
2 -3.63192399791638 -7.12805219350694 -0.071312660939066 -0.139958977534538
2 -2.47213595499958 -7.60845213036123 -0.0485402759681367 -0.149391608237078
2 -1.25147572032185 -7.9015067247611 -0.024572668306932 -0.155145721742499
2 -1.46952762458685E-15 -8 -2.88541074353082E-17 -0.15707963267949
2 1.25147572032185 -7.9015067247611 0.0245726683069319 -0.155145721742499
2 2.47213595499958 -7.60845213036123 0.0485402759681366 -0.149391608237078
2 3.63192399791637 -7.12805219350694 0.0713126609390659 -0.139958977534538
2 4.70228201833978 -6.47213595499958 0.0923290915245228 -0.127080092307882
2 5.65685424949238 -5.65685424949238 0.111072073453959 -0.111072073453959
2 6.47213595499958 -4.70228201833979 0.127080092307881 -0.0923290915245229
2 7.12805219350694 -3.63192399791638 0.139958977534538 -0.071312660939066
2 7.60845213036123 -2.47213595499958 0.149391608237078 -0.0485402759681367
2 7.9015067247611 -1.25147572032185 0.155145721742499 -0.024572668306932
3 8 200 0.15707963267949 0
3 7.9015067247611 201.251475720322 0.155145721742499 0.024572668306932
3 7.60845213036123 202.472135955 0.149391608237078 0.0485402759681365
3 7.12805219350694 203.631923997916 0.139958977534538 0.071312660939066
3 6.47213595499958 204.70228201834 0.127080092307882 0.0923290915245229
3 5.65685424949238 205.656854249492 0.111072073453959 0.111072073453959
3 4.70228201833979 206.472135955 0.0923290915245229 0.127080092307881
3 3.63192399791637 207.128052193507 0.071312660939066 0.139958977534538
3 2.47213595499958 207.608452130361 0.0485402759681367 0.149391608237078
3 1.25147572032185 207.901506724761 0.0245726683069319 0.155145721742499
3 4.89842541528951E-16 208 9.61803581176941E-18 0.15707963267949
3 -1.25147572032185 207.901506724761 -0.0245726683069319 0.155145721742499
3 -2.47213595499958 207.608452130361 -0.0485402759681366 0.149391608237078
3 -3.63192399791637 207.128052193507 -0.071312660939066 0.139958977534538
3 -4.70228201833978 206.472135955 -0.0923290915245229 0.127080092307881
3 -5.65685424949238 205.656854249492 -0.111072073453959 0.111072073453959
3 -6.47213595499958 204.70228201834 -0.127080092307881 0.0923290915245229
3 -7.12805219350694 203.631923997916 -0.139958977534538 0.071312660939066
3 -7.60845213036123 202.472135955 -0.149391608237078 0.0485402759681365
3 -7.9015067247611 201.251475720322 -0.155145721742499 0.024572668306932
3 -8 200 -0.15707963267949 0
3 -7.9015067247611 198.748524279678 -0.155145721742499 -0.024572668306932
3 -7.60845213036123 197.527864045 -0.149391608237078 -0.0485402759681365
3 -7.12805219350694 196.368076002084 -0.139958977534538 -0.071312660939066
3 -6.47213595499958 195.29771798166 -0.127080092307881 -0.0923290915245229
3 -5.65685424949238 194.343145750508 -0.111072073453959 -0.111072073453959
3 -4.70228201833979 193.527864045 -0.0923290915245229 -0.127080092307881
3 -3.63192399791638 192.871947806493 -0.0713126609390661 -0.139958977534538
3 -2.47213595499958 192.391547869639 -0.0485402759681367 -0.149391608237078
3 -1.25147572032185 192.098493275239 -0.0245726683069319 -0.155145721742499
3 -1.46952762458685E-15 192 -2.88541074353082E-17 -0.15707963267949
3 1.25147572032185 192.098493275239 0.0245726683069319 -0.155145721742499
3 2.47213595499958 192.391547869639 0.0485402759681366 -0.149391608237078
3 3.63192399791637 192.871947806493 0.071312660939066 -0.139958977534538
3 4.70228201833978 193.527864045 0.0923290915245229 -0.127080092307881
3 5.65685424949238 194.343145750508 0.111072073453959 -0.111072073453959
3 6.47213595499958 195.29771798166 0.127080092307881 -0.0923290915245229
3 7.12805219350694 196.368076002084 0.139958977534538 -0.071312660939066
3 7.60845213036123 197.527864045 0.149391608237078 -0.0485402759681365
3 7.9015067247611 198.748524279678 0.155145721742499 -0.024572668306932
