x y w c Re(ux) Im(ux) Re(uy) Im(uy) Re(uz) Im(uz)
100.00000000 33.33333333 2.38766917 1 0.00007228334079607619 -0.00009942538831789317 -0.00033971143746356702 -0.00011536682308124644 -0.00000114949332120389 0.00001946607576312300
233.33333333 33.33333333 3.37469173 2 0.00049425377835332368 0.00013066614401155369 -0.00098437022610947167 -0.00017957654010956089 0.00006006141714347748 0.00004018333268347904
233.33333333 100.00000000 2.66606015 3 -0.00005283165141182367 0.00007819513204869141 0.00012518562331739288 -0.00010064097308689482 0.00002536977443209984 -0.00007857707849539676
300.00000000 33.33333333 3.14691729 3 -0.00037814442263068605 0.00009771696086936370 0.00051794757743838122 -0.00007826177858577147 0.00028729694385260011 -0.00004261464936455174
100.00000000 33.33333333 1.38377444 3 0.00023879138355844392 -0.00035961411453080602 0.00022737772721098569 -0.00013887718602544123 -0.00001904841957143868 -0.00024428334503198917
100.00000000 -33.33333333 1.26566917 3 -0.00023507714834950302 0.00022022643971093266 -0.00008789358375603569 0.00022517321204703222 0.00024619899802374881 -0.00020326916974596894
233.33333333 33.33333333 2.91914286 2 -0.00014045264507461829 -0.00017910134439649003 0.00024673360262464892 0.00024288750449890633 -0.00006947472560400127 -0.00005811658574292456
233.33333333 -100.00000000 2.14302256 2 -0.00003124974218917708 -0.00023158659794289684 0.00015435866132782892 0.00049035429552403940 0.00019120360041716344 0.00035816734015242879
100.00000000 -100.00000000 2.38766917 2 0.00019753240485421934 0.00008425565420337755 -0.00003160838501036836 -0.00010369593544497892 0.00000479411557167246 -0.00038914093615819757
233.33333333 -33.33333333 0.91135338 1 0.00137986874733198473 -0.00040626243947401035 -0.00169808926229122678 0.00255117764698075235 0.00050805520013057464 0.00014379376962059901
100.00000000 -100.00000000 2.27800000 1 0.00000513769691078371 -0.00016866713545765876 -0.00032824622518646954 -0.00005702858156422546 -0.00006075200646474454 -0.00004279638495117920
300.00000000 33.33333333 2.42141353 3 -0.00002777653568724525 0.00003988427260223563 0.00003379676095189172 -0.00026257245988584661 -0.00007479935491976695 -0.00001992513398059561
300.00000000 -100.00000000 2.15145865 3 -0.00006915092098820039 -0.00001673848131047502 0.00012479392523131048 0.00013578358251335780 0.00051051955959342321 0.00009845831512772206
100.00000000 -100.00000000 2.01648120 3 -0.00007748097628598968 -0.00011794030450184459 -0.00017274194144191082 0.00016820812164023617 0.00048193250144282771 0.00041657035253267829
233.33333333 -100.00000000 2.64075188 3 0.00005056036151829014 0.00001674898195696017 -0.00002054172808073034 -0.00004967195933755142 -0.00011113811509905163 -0.00002080072050848949
300.00000000 100.00000000 1.66216541 1 -0.00014447608000810034 0.00060130193399957011 0.00018925600711286862 -0.00000356758335703724 -0.00060075121920977604 0.00013047016314056698
233.33333333 33.33333333 0.92822556 2 -0.00038194702872798352 0.00047911202244550282 0.00244263199162983273 -0.00062084076186782457 0.00035419460386659177 -0.00007433796953117454
300.00000000 -100.00000000 0.32926316 2 0.00020651643144218876 -0.00009207287082453167 0.00020780798472364733 0.00188394593082910903 0.00126776087106791023 -0.00144789600698089519
100.00000000 -33.33333333 2.58169925 1 0.00004628704274716213 0.00004419314151189380 -0.00017892460264932403 -0.00013749555777366344 0.00000789290380202570 0.00000561540394253658
300.00000000 -100.00000000 2.49733835 2 0.00006162598415331979 0.00007363304393424172 -0.00017969943307027835 -0.00025168950917066508 -0.00004186298411255174 -0.00002129792350796639
166.66666667 33.33333333 0.43893233 3 0.00029745175873904214 -0.00056774336052661127 0.00019472296631267268 0.00067397999555036133 -0.00004115803684424605 0.00118457718369507740
